,ID,Brand,Name,Colorway,Silhouette,Retail Price,Estimated Market Value,Gender,Release Date,SKU,StockX Link,GOAT Link,Image
452,e00d45c6-3551-46aa-9a02-32ce7f6d93d4,puma,Puma LaMelo Ball MB.04 Love (GS),pink alert/yellow alert,mb.04,105,102,kids,10/25/2024,310533-01,https://stockx.com/puma-lamelo-ball-mb04-love-gs,https://goat.com/sneakers/mb-04-jr-love-310533-01,https://image.goat.com/attachments/product_template_pictures/images/105/088/388/original/310533_01.png.png
453,f72eec3f-18c5-4b80-ac0a-8a2152e3a624,puma,Accelerate Nitro SQD Court 'Forever Better Pack',alpine snow/neon sun,accelerate nitro,155,155,men,10/24/2024,108110-01,,https://goat.com/sneakers/accelerate-nitro-sqd-court-forever-better-pack-108110-01,https://image.goat.com/attachments/product_template_pictures/images/105/136/433/original/108110_01.png.png
454,83419b9a-c5ea-427e-842e-32c1ae3dd83a,puma,Extend Lite Trail 'Khaki Black',desert dust/warm white,extend lite trail,80,49,men,10/23/2024,379538-14,,https://goat.com/sneakers/extend-lite-trail-khaki-black-379538-14,https://image.goat.com/attachments/product_template_pictures/images/105/644/162/original/379538_14.png.png
455,c67cd258-3f09-402b-8294-111bf71667d7,puma,Manchester City x Leadcat 2.0 Slide 'New Navy',new navy,leadcat slide,30,30,men,10/21/2024,108132-01,,https://goat.com/sneakers/manchester-city-x-leadcat-2-0-slide-new-navy-108132-01,https://image.goat.com/attachments/product_template_pictures/images/105/035/699/original/108132_01.png.png
456,debe733c-5425-4ac6-914a-ae0158b80411,puma,Boys & Girls Club x Rebound V6 Low 'Cloisonne',white/cloisonne/team gold,rebound v6,85,137,men,10/21/2024,397211-02,,https://goat.com/sneakers/boys-girls-club-x-rebound-v6-low-cloisonne-397211-02,https://image.goat.com/attachments/product_template_pictures/images/105/035/722/original/397211_02.png.png
457,0047d679-821d-4243-861b-85a82b638c02,puma,Future Pro 7 Cage TF 'Formula Pack',bluemazing/white/electric peppermint,future pro,120,112,men,10/20/2024,107923-01,,https://goat.com/sneakers/future-pro-7-cage-tf-formula-pack-107923-01,https://image.goat.com/attachments/product_template_pictures/images/105/011/938/original/107923_01.png.png
458,141e366c-8861-4470-848e-551980b74e6f,puma,Cool Cat 2.0 Slide 'Calming Green',calming green/sunny yellow,cool cat slides,38,102,men,10/20/2024,389111-08,,https://goat.com/sneakers/cool-cat-2-0-slide-calming-green-389111-08,https://image.goat.com/attachments/product_template_pictures/images/105/011/963/original/389111_08.png.png
459,193ec78d-9571-4cba-99c4-dd3aa7e1084b,puma,Ultra Play 5 FG AG 'Lights Out Pack',fizzy apple/white/bluemazing,ultra play,60,54,men,10/20/2024,107689-03,,https://goat.com/sneakers/ultra-play-5-fg-ag-lights-out-pack-107689-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/930/original/107689_03.png.png
460,22888943-8283-43e9-ab21-fcbfaee7a76e,puma,Axelion Fade 2 'Cool Mid Grey',cool mid grey/black,axelion,80,125,men,10/20/2024,311197-02,,https://goat.com/sneakers/axelion-fade-2-cool-mid-grey-311197-02,https://image.goat.com/attachments/product_template_pictures/images/105/011/962/original/311197_02.png.png
461,2b66864c-07e0-4cd5-97c6-2c1638d800ce,puma,King Pro FG AG 'Lights Out Pack',frosted dew/fizzy apple/grey skies,king,120,217,men,10/20/2024,107862-03,,https://goat.com/sneakers/king-pro-fg-ag-lights-out-pack-107862-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/933/original/107862_03.png.png
